X,Y,Z
1.933456000000000063e+00,2.216007999999999978e+00,-7.807999999999999663e-02
1.911983999999999906e+00,2.009583999999999815e+00,1.610400000000000026e-02
2.376071999999999740e+00,1.716783999999999866e+00,1.673840000000000050e-01
2.509783999999999793e+00,1.623575999999999908e+00,-1.268799999999999963e-02
2.101328000000000085e+00,1.644071999999999978e+00,6.734400000000000108e-02
2.127191999999999972e+00,1.494256000000000029e+00,4.879999999999999789e-03
2.299456000000000166e+00,1.313695999999999975e+00,-9.759999999999999796e-04
2.459519999999999929e+00,1.146311999999999998e+00,1.424959999999999838e-01
2.382903999999999911e+00,9.720959999999999601e-01,-2.098399999999999918e-02
2.208687999999999985e+00,9.101199999999999291e-01,-5.221599999999999853e-02
2.153055999999999859e+00,8.535119999999999374e-01,1.049199999999999994e-01
2.271151999999999838e+00,7.241919999999999469e-01,1.561599999999999933e-01
2.491239999999999899e+00,6.031680000000000375e-01,2.840159999999999907e-01
2.146711999999999954e+00,6.241520000000000401e-01,8.784000000000000141e-02
2.032032000000000060e+00,3.659999999999999920e-01,-1.561599999999999967e-02
2.063263999999999765e+00,1.956880000000000008e-01,2.991440000000000210e-01
2.103279999999999816e+00,1.610399999999999887e-01,3.406239999999999823e-01
2.076439999999999841e+00,1.546960000000000002e-01,8.295999999999999208e-02
2.067168000000000117e+00,3.318399999999999822e-02,-8.784000000000000141e-03
2.038863999999999788e+00,-2.025200000000000056e-01,9.955200000000000160e-02
2.058872000000000035e+00,-4.191920000000000091e-01,5.416800000000000087e-02
2.202344000000000079e+00,-5.597360000000000113e-01,3.113440000000000096e-01
1.837807999999999886e+00,-7.412719999999999310e-01,-7.515199999999999658e-02
1.506944000000000061e+00,-1.899783999999999917e+00,-4.162639999999999674e-01
1.073599999999999888e+00,-9.437919999999999643e-01,-5.548560000000000159e-01
2.201367999999999991e+00,-7.012559999999999905e-01,-9.511119999999999575e-01
1.424960000000000004e+00,-8.627839999999999954e-01,1.405440000000000023e-01
1.661151999999999962e+00,-9.169519999999999893e-01,2.439999999999999947e-01
9.857599999999999696e-01,-1.019919999999999938e+00,7.529839999999999867e-01
1.466928000000000010e+00,-1.006744000000000083e+00,2.776719999999999744e-01
7.617680000000000007e-01,-7.993439999999999435e-01,2.264319999999999944e-01
7.847039999999999571e-01,-1.023824000000000067e+00,5.514399999999999857e-02
7.598159999999999359e-01,-1.402511999999999981e+00,-1.180959999999999926e-01
8.652239999999999931e-01,-1.626503999999999950e+00,-4.928799999999999848e-02
9.008479999999999821e-01,-1.389335999999999904e+00,-4.855599999999999916e-01
2.679119999999999835e-01,-1.236591999999999913e+00,-1.668959999999999888e-01
1.512799999999999978e-01,-1.298079999999999901e+00,-2.181359999999999966e-01
1.800720000000000098e-01,-1.430328000000000044e+00,1.932480000000000031e-01
-1.122399999999999960e-02,-1.373720000000000052e+00,1.756800000000000028e-01
-2.064239999999999964e-01,-1.068719999999999892e+00,2.293599999999999806e-02
-1.341999999999999860e-01,-1.150215999999999905e+00,1.488400000000000001e-01
-1.215119999999999950e-01,-1.199991999999999948e+00,1.385919999999999930e-01
-3.518479999999999941e-01,-1.155583999999999945e+00,-3.757599999999999829e-02
-6.099999999999999867e-01,-1.147775999999999907e+00,-2.635200000000000042e-02
-7.359040000000000026e-01,-1.121423999999999976e+00,9.418400000000000383e-02
-8.349679999999999325e-01,-9.032879999999999798e-01,-4.879999999999999898e-04
-8.139839999999999298e-01,-8.866959999999999287e-01,2.210639999999999827e-01
-9.189039999999999431e-01,-9.491600000000000037e-01,3.279360000000000053e-01
-9.667280000000000317e-01,-9.779519999999999325e-01,-2.230159999999999920e-01
